koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_sma,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_kepmag
CANDIDATE,208.047137,0.1884,3.22,2.88E+02,2.05,0.6345,363,4.12,6.9,5991,4.175,1.2,13.934
CANDIDATE,30.561533,0.0124,2.227,5.86E+02,1.53,0.1661,379,4.86,6.9,4294,4.609,0.664,15.871
CONFIRMED,6.10968225,0.108,5.735,6.03E+01,0.79,0.0596,1093,337.78,18.6,6024,4.309,1.009,13.328
CANDIDATE,292.09809,0.5155,14.43,5.29E+02,2.09,0.8541,267,1.2,11.4,5955,4.534,0.883,15.003
FALSE POSITIVE,11.8045536,0.1533,3.195,1.29E+02,0.94,0.0947,660,44.76,7,4971,4.482,0.857,14.274
CANDIDATE,578.21623,0.3763,2.707,1.21E+02,3.54,1.5655,328,2.74,3.5,5166,3.6,3.244,11.619
CANDIDATE,56.648588,0.769,4.534,6.49E+02,2.19,0.2703,377,4.77,11.8,5023,4.565,0.782,15.602
CANDIDATE,53.554546,0.62,5.533,1.28E+02,3.1,0.3144,769,82.79,8.9,6039,3.76,2.622,11.47
FALSE POSITIVE,3.1748772,0.94,7.089,1.74E+03,8.8,0.0415,1410,933.1,98.6,5116,3.994,1.619,14.395
CANDIDATE,119.079642,0.2275,16.268,4.23E+02,17.89,0.6497,795,94.61,18,4849,2.942,8.984,13.468
FALSE POSITIVE,371.18648,0.0845,19.929,3.18E+02,2.06,1.0309,291,1.68,18.1,6231,4.34,1.152,13.937
CANDIDATE,20.5858591,0.7233,3.069,2.60E+02,1.31,0.1302,586,27.85,6.6,5523,4.526,0.753,15.306
FALSE POSITIVE,10.90962154,0.146,17.8024,5.00E+05,149.1,0.0896,1127,381.27,2345.1,5323,3.714,2.064,14.096
CANDIDATE,113.573945,0.1359,3.007,2.50E+02,3.45,0.4691,496,14.32,7.8,5155,3.768,2.233,12.397
FALSE POSITIVE,27.0779813,0.957,138.54,3.48E+02,2.03,0.162,597,29.98,139.4,5906,4.467,0.85,14.17
FALSE POSITIVE,1.827660875,1.026,3.986,4.67E+04,42.1,0.0304,1664,1811.72,890.3,6352,4.427,1.072,14.268
CANDIDATE,542.91133,0.3766,15.9,7.50E+02,2.27,1.2569,199,0.37,13.1,5583,4.559,0.824,15.373
FALSE POSITIVE,376.554588,0.0963,3.182,4.81E+02,2,1.0227,247,0.88,5.4,5926,4.519,0.913,14.694
FALSE POSITIVE,538.4263,0.3917,12.751,2.42E+02,3.2,1.3552,322,2.53,16.2,5962,3.882,2.028,12.099
FALSE POSITIVE,94.20561159,,6.62,,,,,,,,,,11.613
FALSE POSITIVE,378.7064396,,14.66,,,,,,,,,,15.658
FALSE POSITIVE,78.4286313,1.388,3.7368,8.33E+04,85.77,0.3593,425,7.74,112.6,5780,4.438,1,15.069
CANDIDATE,287.75613,0.2794,5.487,1.99E+03,3.4,0.8109,215,0.5,6.6,4965,4.586,0.781,16.925
FALSE POSITIVE,2.53021,1.275,21.79,3.68E+02,41.44,0.0354,1543,1338.82,24.2,5780,4.178,1.296,12.294
FALSE POSITIVE,2.249000963,0.68,9.6022,5.88E+04,59.61,0.0358,2126,4838.14,1159.5,6025,3.8,2.293,12.502
CANDIDATE,189.961729,0.1845,12.46,7.00E+02,1.93,0.6066,260,1.08,11.9,5335,4.613,0.742,15.713
FALSE POSITIVE,121.6238738,,2.73,,,,,,,,,,12.209
CANDIDATE,202.1872277,,2.77,,,,,,,,,,13.762
CANDIDATE,280.9207069,,3.48,,,,,,,,,,15.261
FALSE POSITIVE,432.074696,0.1559,4.763,1.09E+03,2.39,1.0423,193,0.32,7.6,5183,4.608,0.739,15.214
CANDIDATE,169.415073,0.7546,3.884,2.40E+02,2.32,0.6368,413,6.87,9.8,6362,4.238,1.378,12.427
FALSE POSITIVE,460.77905,0.324,15.541,2.39E+02,4.24,1.3221,387,5.32,12.7,6126,3.731,2.717,13.462
FALSE POSITIVE,3.21318517,0.924,15.47,2.05E+03,8.24,0.0454,1710,2017.35,662.9,6712,4.159,1.513,12.52
CANDIDATE,57.7749373,0.044,4.731,2.84E+02,1.85,0.3063,524,17.82,10.4,6277,4.417,1.097,14.753
FALSE POSITIVE,331.7824813,,4.94,,,,,,,,,,13.789
FALSE POSITIVE,1.20608769,1.253,2.2272,1.66E+03,44.46,0.0224,1941,3353.78,66.9,5657,4.186,1.355,14.252
FALSE POSITIVE,613.82905,0.2616,18.18,1.48E+02,2.85,1.5457,307,2.1,10.2,5636,3.809,2.357,13.016
FALSE POSITIVE,476.80454,0.5619,10.65,1.44E+02,1.12,1.1453,227,0.63,5.7,5806,4.473,0.901,13.879
CONFIRMED,4.09513876,0.97,2.462,1.82E+02,1.75,0.0511,1122,374.3,11.6,5858,4.495,0.963,15.524
CANDIDATE,502.8356901,,9.97,,,,,,,,,,15.195
CANDIDATE,81.704814,0.0021,1.468,2.97E+02,1.65,0.3517,442,9.04,5.8,6099,4.421,0.95,14.794
FALSE POSITIVE,0.779615874,0.699,3.932,8.15E+01,0.83,0.0164,1847,2735.51,22,5764,4.548,0.863,15.292
CANDIDATE,578.21805,0.3937,4.18,6.37E+02,2.44,1.3722,223,0.59,5.3,6089,4.495,0.95,15.584
CANDIDATE,317.009388,0.2991,3.013,3.27E+02,4.03,0.9541,345,3.34,7.5,5066,3.787,2.27,13.555
CANDIDATE,482.51701,0.0846,14.791,5.73E+02,2.3,1.2182,242,0.8,10.3,6168,4.488,0.96,15.054
FALSE POSITIVE,224.469892,0.2691,2.952,4.59E+02,2.35,0.7093,323,2.58,5.5,5911,4.337,1.091,14.918
FALSE POSITIVE,113.556471,0.1828,2.383,2.79E+02,6.76,0.4481,651,42.48,7.6,4842,3.167,4.164,13.316
FALSE POSITIVE,208.02789,0.6065,10.82,2.55E+02,1.04,0.5867,196,0.35,8.8,4285,4.63,0.632,14.487
FALSE POSITIVE,308.024953,0.3366,2.665,3.53E+02,3.55,0.8409,345,3.35,10.2,5220,3.808,1.887,11.879
CANDIDATE,7.77710639,0.196,3.418,7.74E+01,0.73,0.0713,773,84.44,10.6,5073,4.481,0.851,13.725
FALSE POSITIVE,1.33261458,0.936,5.161,1.34E+03,3.65,0.0215,1208,505.52,17.5,4611,4.551,0.76,17.511
CANDIDATE,233.64574,0.0691,10.05,2.27E+03,5.2,0.744,296,1.8,7.6,5780,4.438,1,17.106
CANDIDATE,27.285315,0.213,7.47,3.97E+02,2.19,0.184,678,49.97,9.6,6304,4.407,1.094,14.71
FALSE POSITIVE,105.895315,0.093,2.581,1.23E+03,2.69,0.4045,323,2.58,7,5271,4.548,0.781,15.979
FALSE POSITIVE,61.224558,0.571,4.103,5.44E+02,2.76,0.3244,525,17.89,9.7,6343,4.408,1.14,15.873
FALSE POSITIVE,28.50787754,1.025,3.13331,2.44E+04,27.79,0.1841,613,33.32,449,6131,4.497,0.945,14.876
FALSE POSITIVE,444.46522,1.2803,0.767,4.08E+03,30.17,1.0697,189,0.3,9,5134,4.609,0.746,15.466
FALSE POSITIVE,8.48039,0.008,6.134,1.34E+02,1.23,0.0848,969,208.42,12,6193,4.434,1.067,14.863
CANDIDATE,445.351255,0.1716,6.516,4.20E+02,3.66,1.2938,370,4.43,10.6,7202,4.112,1.755,13.735
FALSE POSITIVE,72.0153825,0.6038,2.548,1.78E+02,6.94,0.4152,783,88.86,6.8,5099,3.299,5.032,11.888
FALSE POSITIVE,21.12752693,0.157,2.253,5.18E+01,20.93,0.1763,2349,7200.22,18.4,4024,1.672,30.882,8.789
FALSE POSITIVE,23.9341825,0.0465,1.607,2.28E+02,1.03,0.145,432,8.27,6.5,4415,4.58,0.715,14.869
FALSE POSITIVE,87.775799,0.8114,1.862,4.50E+02,2.44,0.3746,409,6.61,6.3,5604,4.375,1.025,15.429
FALSE POSITIVE,65.67350728,,2.73,,,,,,,,,,15.528
FALSE POSITIVE,222.0640988,,2.89,,,,,,,,,,14.017
FALSE POSITIVE,35.88227289,0.858,3.95004,1.01E+05,35.21,0.2052,512,16.3,3096.9,5840,4.57,0.812,14.295
FALSE POSITIVE,8.780603773,1.127,3.16989,9.00E+04,52.34,0.0812,775,85.17,1406.9,5487,4.563,0.832,15.674
CANDIDATE,97.5137491,0.0922,2.655,2.80E+02,5.27,0.4608,630,37.25,9.1,5437,3.57,3.18,12.603
CANDIDATE,549.42772,0.4315,6.09,7.19E+02,2.64,1.3488,223,0.58,12.1,5957,4.498,0.971,14.654
CANDIDATE,284.666844,0.3413,2.752,4.18E+02,8.98,1.0029,486,13.14,5.6,5248,3.368,4.413,13.761
CONFIRMED,224.150923,0.019,12.455,3.49E+02,2.41,0.6762,369,4.4,34.2,6072,4.133,1.286,13.093
CANDIDATE,148.179343,0.102,12.733,4.67E+02,2.52,0.5425,367,4.29,12.5,5635,4.278,1.183,15.563
FALSE POSITIVE,551.49832,0.9478,40.92,1.87E+03,4.89,1.3067,215,0.51,37,5926,4.532,0.887,15.536
FALSE POSITIVE,351.2878737,0.712,11.2066,1.35E+05,38.47,0.9771,252,0.96,1002.8,5911,4.519,0.914,15.703
CANDIDATE,376.934014,0.6546,4.28,3.82E+02,2.13,0.991,274,1.33,6.1,6074,4.369,1.034,13.797
FALSE POSITIVE,46.50446209,,1.37,,,,,,,,,,15.682
CANDIDATE,17.168095,0.999,13.04,1.43E+02,4.81,0.2602,603,31.34,8.1,5053,3.824,1.907,14.498
FALSE POSITIVE,124.091252,0.031,2.172,2.81E+02,1.3,0.4619,305,2.04,5.7,5275,4.571,0.792,14.152
CANDIDATE,403.163148,0.02,5.735,6.81E+02,2.49,1.0963,240,0.79,12.1,5812,4.504,0.963,14.624
CANDIDATE,341.557931,0.6746,3.365,4.33E+02,6.81,1.0293,393,5.65,9.6,5138,3.551,3.098,12.472
CANDIDATE,476.91977,0.5589,5.07,1.94E+02,2.49,1.2893,321,2.49,7.4,6282,4.063,1.725,12.952
CANDIDATE,9.011888,0.948,4.167,9.88E+02,7.04,0.0876,1105,351.97,15.5,5627,4.002,1.735,14.321
CANDIDATE,351.25069,0.1777,3.648,1.32E+03,2.23,0.8302,186,0.28,6.5,4828,4.63,0.63,15.806
FALSE POSITIVE,212.771978,0.2065,2.115,1.24E+03,2.84,0.6458,255,1,6.9,5122,4.505,0.824,15.788
CANDIDATE,65.3558881,0.4827,2.165,1.16E+03,2.61,0.2894,337,3.05,9.6,4703,4.55,0.764,15.676
FALSE POSITIVE,18.0766788,0.822,3.06,2.88E+04,19.47,0.1351,694,54.73,26.6,5780,4.438,1,16.667
FALSE POSITIVE,1.33255577,0.199,4.282,1.27E+02,0.97,0.0223,1420,961.41,15.4,5122,4.469,0.881,15.916
FALSE POSITIVE,1.33259275,0.833,4.014,7.91E+01,0.97,0.0241,1703,1983.27,15.9,6091,4.487,0.967,15.3
FALSE POSITIVE,36.6092739,0.26,1.835,1.10E+03,52.42,0.2708,1623,1640.55,7.6,4770,2.319,16.114,13.823
CANDIDATE,39.399926,0.544,5.729,3.41E+02,1.52,0.2172,499,14.66,9.4,5913,4.581,0.795,15.453
CANDIDATE,270.1430241,,6.32,,,,,,,,,,15.059
FALSE POSITIVE,0.812592362,1.007,1.5646,6.95E+03,25.84,0.0191,2912,16928.43,226.6,7117,4.153,1.64,14.235
FALSE POSITIVE,81.871309,0.1996,1.606,9.82E+01,1.12,0.3783,480,12.59,5.4,6343,4.375,1.115,12.869
FALSE POSITIVE,0.566805859,0.724,3.835,6.11E+01,1.25,0.0146,2858,15850.69,21.5,6413,4.203,1.494,13.857
FALSE POSITIVE,326.3659519,,3.75,,,,,,,,,,14.983
FALSE POSITIVE,520.58269,0.045,2.264,3.48E+02,1.94,1.3069,244,0.83,6,6210,4.45,1.033,14.027
CANDIDATE,126.586058,0.799,5.41,1.25E+02,1.54,0.5029,460,10.54,10.5,6611,4.269,1.249,12.968
CANDIDATE,2.7200197,0.0078,1.874,8.69E+02,1.53,0.0313,713,61.08,8.5,3939,4.735,0.527,16.56
CANDIDATE,18.347081,0.1988,2.825,1.13E+03,5.65,0.1354,855,126.14,11.6,5465,3.968,1.702,14.261
CANDIDATE,57.140035,0.0783,5.684,1.57E+03,5.78,0.2891,588,28.34,7.2,5936,4.103,1.46,16.558
FALSE POSITIVE,0.718643659,0.922,2.51246,1.25E+05,50.85,0.0155,2002,3813.75,575,5853,4.483,0.934,15.121
CANDIDATE,31.70757465,0.923,7.6771,7.87E+02,2.96,0.1935,547,21.1,5.5,5861,4.546,0.865,15.197
FALSE POSITIVE,17.94632811,0.774,8.15905,1.03E+05,66.65,0.1282,845,120.63,3497.6,5228,3.906,1.722,14.933
FALSE POSITIVE,204.818268,0.346,1.93,3.04E+02,5.18,0.7609,525,17.9,5.4,6060,3.65,2.93,11.784
CANDIDATE,9.3589254,0.184,3.169,1.53E+03,17.37,0.1014,1528,1288.85,8.9,5188,3.327,4.521,17.054
CANDIDATE,4.15472242,0.971,1.791,2.24E+03,23.47,0.0609,2292,6522.18,19.7,6996,3.627,3.359,12.572
FALSE POSITIVE,23.81490574,0.772,1.9948,7.92E+04,63.1,0.1507,847,121.57,444.4,5421,3.79,1.89,14.488
FALSE POSITIVE,1.3274511,0.245,3.465,1.24E+02,0.66,0.02,1009,243.87,16.6,4137,4.646,0.61,15.158
CANDIDATE,87.565484,0.0563,2.527,3.96E+02,2.12,0.4009,437,8.6,6.7,6064,4.429,1.069,15.212
CANDIDATE,535.1515,0.3162,2.826,3.62E+02,2.7,1.2454,258,1.04,8.6,5468,4.085,1.423,12.706
CANDIDATE,495.40462,2.3238,0.63,9.04E+02,152.21,1.2628,248,0.9,5.5,6225,4.45,1.031,13.825
FALSE POSITIVE,209.238576,0.2683,2.245,1.55E+02,1.43,0.6992,354,3.72,5.4,6302,4.345,1.135,13.564
CANDIDATE,353.65927,0.247,4.543,1.02E+03,2.58,0.9524,223,0.58,7.5,5438,4.574,0.82,15.871
CANDIDATE,346.4174,0.1572,9.23,6.62E+02,2.41,0.9687,251,0.94,7.9,5754,4.49,0.946,15.612
FALSE POSITIVE,1.166835206,1.257,2.17596,1.55E+04,96.28,0.0279,3457,33728.08,388.6,8982,4.111,2.123,14.99
FALSE POSITIVE,230.7057888,,2.69,,,,,,,,,,14.626
FALSE POSITIVE,4.99471597,0.698,3.44,5.30E+01,2.2,0.0653,1861,2836.06,14.1,6409,3.706,2.83,13.352
CANDIDATE,161.651504,0.736,2.509,2.54E+02,2.22,0.5787,377,4.77,8.4,5725,4.212,1.289,13.756
CANDIDATE,376.24253,0.328,4.064,1.86E+02,1.32,1.0124,254,0.99,6.3,5916,4.463,0.96,13.772
FALSE POSITIVE,27.65960779,0.604,4.16321,3.18E+05,50.7,0.1692,499,14.66,4791,5310,4.593,0.768,14.706
FALSE POSITIVE,476.727302,0.008,9.327,1.04E+03,23.42,1.3199,530,18.64,17.9,5068,2.827,7.417,13.587
CANDIDATE,21.7997515,0.1657,4.756,1.10E+02,1.01,0.1548,674,48.75,8.7,6122,4.487,0.964,14.82
CANDIDATE,54.595746,0.332,2.21,1.36E+02,2,0.2843,649,41.81,8.7,6014,3.989,1.699,13.67
FALSE POSITIVE,22.0495604,0.651,3.428,1.35E+02,1.9,0.1685,912,163.51,15.4,6821,4.176,1.548,13.454
FALSE POSITIVE,150.7003939,,2.82,,,,,,,,,,15.396
FALSE POSITIVE,44.48477463,,1.67,,,,,,,,,,15.179
FALSE POSITIVE,93.6452481,,2.12,,,,,,,,,,15.854
CANDIDATE,585.64118,0.5274,13.97,5.65E+02,2.2,1.368,207,0.43,12.5,5779,4.526,0.901,14.644
FALSE POSITIVE,574.69029,0.004,4.269,2.77E+02,1.26,1.2394,191,0.31,7.2,5503,4.557,0.764,13.873
CANDIDATE,502.9828392,,2.94,,,,,,,,,,14.03
CANDIDATE,48.8130123,0.0608,1.538,7.02E+02,2.95,0.2713,553,22.17,8.8,6202,4.395,1.11,15.861
FALSE POSITIVE,280.1604956,1.04,2.8637,1.29E+04,19.25,0.8057,237,0.74,54.5,5387,4.581,0.799,15.884
FALSE POSITIVE,370.46262,0.2421,9.541,3.48E+02,2.03,1.0335,284,1.53,12.1,6295,4.401,1.08,13.84
FALSE POSITIVE,116.301793,0.4631,2.253,6.49E+02,2.18,0.4541,336,3.01,6.3,5593,4.552,0.842,15.503
FALSE POSITIVE,480.19416,0.1548,10.76,3.72E+02,1.79,1.203,235,0.72,9.1,6072,4.51,0.923,14.382
FALSE POSITIVE,368.49828,0.1772,14.903,5.82E+02,1.86,0.9155,214,0.5,18,5255,4.527,0.783,14.697
FALSE POSITIVE,6.993576155,1.317,21.2695,2.92E+03,101.15,0.0803,1605,1569.11,643.3,6565,3.803,2.467,12.594
FALSE POSITIVE,223.5213173,,3.27,,,,,,,,,,13.658
FALSE POSITIVE,1.811461128,0.309,8.42343,9.22E+05,373.77,0.0367,3438,33024.44,3934.3,8572,3.776,3.034,13.947
FALSE POSITIVE,2.17491508,0.719,8.4418,6.35E+05,193.73,0.0364,2009,3847.36,1572,6792,4.143,1.636,14.281
CANDIDATE,441.61919,0.5027,5.372,8.20E+02,1.71,0.9487,152,0.12,7.8,4351,4.659,0.592,14.497
FALSE POSITIVE,24.5002702,0.405,4.079,1.54E+02,0.73,0.1419,409,6.61,13.3,4519,4.688,0.597,13.511
CANDIDATE,318.49078,0.4328,3.012,6.30E+02,3.01,0.9166,301,1.94,6.3,6026,4.302,1.176,14.582
FALSE POSITIVE,2.16402661,,2.78,,,,,,,,,,15.09
FALSE POSITIVE,392.8927563,,4.93,,,,,,,,,,13.802
FALSE POSITIVE,114.734287,0.3694,3.724,2.43E+02,1.1,0.4069,296,1.82,6.7,5083,4.569,0.71,14.259
CANDIDATE,362.0619,0.524,14.02,8.86E+02,2.12,0.9112,203,0.41,13.5,5271,4.636,0.698,15.766
FALSE POSITIVE,1.340649911,0.561,5.0912,6.28E+05,127.25,0.0237,2004,3824.87,791,6332,4.26,1.222,14.558
FALSE POSITIVE,30.69537638,0.846,5.6634,1.99E+04,19.39,0.2027,662,45.29,186.8,6185,4.356,1.192,15.496
FALSE POSITIVE,30.69533113,1.041,5.94855,8.88E+04,69.4,0.185,737,69.65,7846.3,6335,4.171,1.286,12.508
CANDIDATE,11.37444271,0.978,2.30694,2.79E+04,22.86,0.0933,687,52.84,643.6,5297,4.546,0.808,14.585
FALSE POSITIVE,49.873958,0.4119,1.351,5.62E+02,1.5,0.2261,366,4.26,5.7,4979,4.632,0.629,15.518
CANDIDATE,411.447056,0.287,3.481,2.85E+02,2.86,1.1846,342,3.22,7.3,6519,4.108,1.672,13.81
CANDIDATE,29.9371143,0.321,4.435,1.94E+02,1.19,0.1758,501,14.87,11.6,5115,4.47,0.866,14.489
FALSE POSITIVE,114.2504149,,2.11,,,,,,,,,,15.872
CANDIDATE,651.358046,0.0946,4.384,5.71E+02,14.58,1.8916,411,6.75,11,5122,3.172,6.261,12.888
FALSE POSITIVE,407.97623,0.0598,14.69,2.38E+02,4.63,1.3498,498,14.53,11.2,7612,3.787,2.968,12.234
CANDIDATE,33.3037881,0.072,3.003,2.72E+02,1.14,0.1866,422,7.53,8.1,4899,4.624,0.713,14.733
CANDIDATE,212.60398,0.0513,5.74,1.89E+02,1.64,0.7026,337,3.06,7.1,5834,4.284,1.207,14.01
CANDIDATE,50.550788,0.632,2.353,1.55E+02,5,0.3046,790,92.03,7.9,5031,3.433,3.859,11.509
FALSE POSITIVE,239.2557898,,5.21,,,,,,,,,,13.816
CANDIDATE,285.374561,0.018,4.865,4.82E+02,5.94,0.7937,423,7.54,13.7,5142,3.47,2.756,13.863
FALSE POSITIVE,6.279888981,1.244,5.5086,1.51E+03,196.78,0.0831,1931,3281.24,150.5,5057,3.137,6.222,13.285
FALSE POSITIVE,37.47695717,,1.46,,,,,,,,,,14.508
CANDIDATE,93.359737,0.0547,5.397,3.83E+01,1.05,0.4308,592,29.01,8.1,6809,4.078,1.673,10.926
FALSE POSITIVE,519.8022187,0.894,14.9678,7.72E+04,40.88,1.2124,216,0.51,2502.9,5310,4.356,1.03,12.651
CANDIDATE,122.58481,0.3468,22.37,3.19E+02,1.19,0.4192,279,1.43,7.6,5003,4.602,0.669,15.443
CANDIDATE,84.934357,0.1612,3.169,1.30E+02,1.6,0.3805,531,18.83,5.9,6290,4.156,1.395,13.67
FALSE POSITIVE,48.9200563,0.6077,2.295,3.34E+02,1.71,0.243,456,10.22,7,5375,4.433,0.899,14.981
CANDIDATE,421.98194,0.1494,13.799,1.73E+02,2.02,1.2041,334,2.96,15,6760,4.193,1.515,12.338
CONFIRMED,469.61309,0.906,13.709,1.23E+03,3.24,1.117,200,0.37,18.2,5474,4.598,0.763,15.696
FALSE POSITIVE,583.73632,0.126,15.75,3.39E+02,2.65,1.4277,266,1.19,11.4,6003,4.176,1.442,14.495
FALSE POSITIVE,502.658,0.3138,19.51,2.16E+02,0.69,0.9719,116,0.04,10,3754,4.773,0.473,13.676
CANDIDATE,116.454312,0.006,15.826,2.13E+03,3.33,0.4142,306,2.06,30,5197,4.548,0.736,16.017
CANDIDATE,397.499229,0.5839,8.019,2.63E+03,6.57,1.1541,293,1.73,34.8,6423,4.37,1.231,15.312
FALSE POSITIVE,243.954706,0.1207,2.562,2.92E+02,1.35,0.7299,257,1.03,5.2,5578,4.578,0.794,14.43
CANDIDATE,24.9093027,0.679,3.8,3.33E+02,1.32,0.1507,452,9.9,10.4,4810,4.633,0.685,15.712
CANDIDATE,192.138741,0.0503,3.218,1.51E+02,1.93,0.6782,407,6.48,8.2,6065,4.098,1.569,12.534
CANDIDATE,281.95332,0.6164,2.756,1.04E+03,2.31,0.7622,204,0.41,7.6,4864,4.628,0.692,15.399
FALSE POSITIVE,12.71368909,0.196,1.875,1.92E+02,1.09,0.1014,700,56.78,9.8,5715,4.586,0.782,15.127
FALSE POSITIVE,25.26363805,,2.72,,,,,,,,,,12.231
FALSE POSITIVE,1.391716834,0.233,1.421,4.10E+01,36.19,0.0234,8346,1150147.99,9.7,3749,0.833,59.684,13.71
FALSE POSITIVE,70.51623381,0.587,4.09296,3.30E+05,52.74,0.3065,390,5.47,3168.8,5511,4.531,0.789,15.284
FALSE POSITIVE,2.645596805,1.239,2.9095,1.27E+03,167.05,0.0437,2452,8539.63,166.8,4980,3.167,5.443,12.375
CANDIDATE,388.67155,0.0576,11.701,3.71E+02,1.49,0.9976,210,0.46,10.1,5354,4.587,0.788,14.829
FALSE POSITIVE,105.6327297,,2.73,,,,,,,,,,13.568
FALSE POSITIVE,274.553579,0.1125,5.95,2.18E+02,1.66,0.8227,322,2.55,6.7,6267,4.334,1.118,13.715
FALSE POSITIVE,251.0230401,,3.11,,,,,,,,,,13.439
FALSE POSITIVE,1.80774253,0.9062,2.637,5.93E+02,5.29,0.0278,1822,2606.24,15.1,5164,3.88,1.779,15.651
CANDIDATE,520.655224,0.2674,12.94,3.15E+02,7.58,1.4248,401,6.12,14.4,5227,3.321,4.313,12.518
CANDIDATE,369.93355,0.149,7.6,9.95E+02,3.24,1.0371,270,1.25,15.8,6158,4.453,1.024,15.524
FALSE POSITIVE,28.7369766,0.1108,1.586,5.25E+02,1.95,0.1798,550,21.64,5.5,5722,4.547,0.854,15.642
FALSE POSITIVE,2.45649061,0.167,2.844,2.88E+02,14.14,0.0333,3440,33039.62,21,4870,2.486,8.531,10.45
FALSE POSITIVE,98.51783198,,1.65,,,,,,,,,,14.037
FALSE POSITIVE,457.513348,0.9613,5.763,5.63E+02,25.18,1.4802,512,16.21,3.9,5047,2.966,7.821,13.853
FALSE POSITIVE,224.0258992,,2.93,,,,,,,,,,15.496
FALSE POSITIVE,323.77153,0.083,17.57,3.54E+02,1.44,0.8795,216,0.52,10.6,5196,4.586,0.784,14.458
CANDIDATE,641.60204,0.3218,16.762,2.37E+02,1.61,1.4993,230,0.66,10.6,6277,4.449,1.031,14.152
FALSE POSITIVE,40.0389613,0.3619,1.711,1.09E+02,0.95,0.2139,517,16.85,5.7,5701,4.437,0.903,13.699
FALSE POSITIVE,22.57197263,1.056,4.00349,7.93E+04,46.14,0.1419,617,34.24,1040.1,5645,4.431,0.871,15.45
CANDIDATE,28.406342,0.2208,2.598,2.24E+02,1.41,0.1793,613,33.44,5.4,6085,4.474,0.936,15.423
FALSE POSITIVE,1.018861199,0.358,6.5005,2.91E+05,93.47,0.0201,2505,9299.2,911.3,6225,4.009,1.672,14.039
FALSE POSITIVE,80.519237,0.102,4.044,9.25E+01,1.08,0.3759,476,12.11,7.2,6251,4.378,1.119,12.725
FALSE POSITIVE,149.356804,0.1627,15.415,1.72E+02,2.92,0.5907,560,23.18,14,6569,3.842,2.203,13.825
CANDIDATE,264.466625,0.129,6.371,4.37E+02,2.61,0.8599,346,3.41,27,6551,4.337,1.236,11.154
CANDIDATE,151.77884,0.159,2.615,1.90E+02,4.35,0.6438,616,34.01,8.2,6328,3.634,3.134,11.141
FALSE POSITIVE,50.47759052,,2.02,,,,,,,,,,12.909
CANDIDATE,113.993156,0.7026,7.721,6.97E+01,2.23,0.5697,729,66.64,15.6,7892,3.921,2.496,11.176
FALSE POSITIVE,2.79123954,0.709,2.843,1.55E+02,2.22,0.0425,1771,2322.96,25.3,6407,4.111,1.668,13.116
FALSE POSITIVE,223.3176922,,3.54,,,,,,,,,,13.705
FALSE POSITIVE,44.637111,0.029,5.868,2.83E+02,1.28,0.222,432,8.22,9.4,5222,4.518,0.78,15.292
CANDIDATE,102.493119,0.9591,2.814,6.36E+02,2.7,0.41,317,2.37,8.3,5166,4.583,0.791,15.142
CANDIDATE,284.9421278,,3.2,,,,,,,,,,13.248
FALSE POSITIVE,365.620697,0.4173,32.263,2.72E+04,12.75,0.9018,215,0.5,671.1,5273,4.531,0.768,14.622
CANDIDATE,6.13292733,0.225,1.561,5.87E+01,1.56,0.0719,1379,854.43,10,5877,3.941,2.034,13.421
CANDIDATE,12.63063129,0.017,2.212,3.01E+02,1.37,0.1019,689,53.17,9.5,5579,4.58,0.798,15.633
FALSE POSITIVE,191.272501,0.504,3.064,2.87E+02,1.59,0.6103,310,2.18,5.8,5727,4.43,0.918,13.955
CANDIDATE,286.02266,0.3591,10.43,1.04E+03,2.03,0.7259,180,0.25,9.8,4368,4.624,0.637,15.45
CANDIDATE,7.95445779,0.021,4.6012,6.27E+03,9.5,0.0794,1064,303.36,228.4,6217,4.306,1.196,14.406
CANDIDATE,331.70918,78.4871,7.44,3.46E+03,6815.75,0.8952,221,0.56,9.5,5282,4.565,0.805,15.54
FALSE POSITIVE,575.42002,0.1538,17.22,4.02E+02,1.91,1.3184,225,0.61,11.7,6025,4.448,0.949,14.693
CANDIDATE,297.78282,0.2697,18.38,3.92E+02,1.17,0.7267,167,0.18,10.8,4192,4.657,0.59,14.587
CANDIDATE,137.396194,0.525,17.61,1.55E+02,3.38,0.5691,517,16.87,13.2,5425,3.704,2.655,13.668
CANDIDATE,365.739893,0.6206,1.218,3.01E+02,1.73,0.9391,241,0.8,4.7,5420,4.396,0.953,12.962
CANDIDATE,104.198102,0.3437,3.2,6.52E+02,5.13,0.412,497,14.46,8.9,5087,3.759,2.024,14.457
FALSE POSITIVE,368.72715,0.3411,5.06,4.27E+02,1.55,0.9183,215,0.51,6.4,5401,4.569,0.749,14.598
CANDIDATE,74.833577,0.1101,3.247,8.64E+01,1.68,0.3555,590,28.65,6.4,5933,3.953,1.807,12.395
CANDIDATE,8.5852872,0.029,2.834,1.41E+03,3.02,0.0795,777,85.95,11,5488,4.57,0.818,16.565
FALSE POSITIVE,100.303613,0.388,10.578,4.88E+05,78.77,0.4221,421,7.41,354.7,6060,4.397,1.046,17.908
CANDIDATE,102.100752,0.492,2.009,1.94E+02,2.63,0.4737,551,21.84,5.2,6359,4.046,1.83,13.845
