koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_sma,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_kepmag
CONFIRMED,4.71510843,0.258,2.506,4.18E+02,1.46,0.0496,823,108.84,21.3,4861,4.574,0.732,15.289
CONFIRMED,6.365839713,0.524,2.9721,7.81E+02,2.44,0.0659,914,165.33,70.8,5776,4.554,0.849,15.09
FALSE POSITIVE,5.97581754,0.941,3.065,9.62E+02,3.86,0.066,1047,284.25,50.3,6108,4.471,0.997,15.546
FALSE POSITIVE,2.446737317,1.241,4.7211,1.18E+03,26.25,0.0351,1261,597.19,110.2,5764,4.548,0.863,15.021
CONFIRMED,3.04033046,0.736,1.8411,1.09E+04,8.99,0.0374,1021,257.29,568.2,5035,4.519,0.791,15.028
CONFIRMED,15.33528675,0.773,3.897,3.08E+03,5,0.1179,610,32.67,86.6,5251,4.581,0.817,15.855
CONFIRMED,7.95825328,0.706,4.377,5.00E+01,1.06,0.0809,1074,314.15,14.7,5847,4.191,1.402,12.487
CONFIRMED,31.33046135,0.798,5.176,5.07E+03,6.5,0.1898,481,12.61,117.2,5251,4.581,0.817,15.855
FALSE POSITIVE,3.9043425,0.709,3.831,1.62E+04,12.28,0.0484,1104,351.05,323.4,5810,4.526,0.898,15.016
FALSE POSITIVE,9.286358079,0.377,3.49949,4.48E+04,17.61,0.081,796,95.03,1671.1,5670,4.523,0.821,15.365
FALSE POSITIVE,3.951405455,1.276,2.1862,2.45E+03,31.44,0.0482,1133,388.71,117.2,6046,4.539,0.869,15.446
CONFIRMED,23.65369415,0.008,8.2183,3.34E+03,7.89,0.1658,731,67.65,266.3,5739,4.191,1.384,15.084
CONFIRMED,13.23352214,0.014,6.7372,5.05E+02,3.06,0.1126,888,146.67,49.1,5739,4.191,1.384,15.084
CONFIRMED,6.15560285,0.235,4.9843,2.85E+02,2.32,0.0676,1146,406.94,35.1,5739,4.191,1.384,15.084
CONFIRMED,2.090811305,0.746,3.388,1.16E+02,1.62,0.0329,1642,1718.04,19.9,5739,4.191,1.384,15.084
CONFIRMED,3.180027898,0.196,3.5797,1.20E+02,1.53,0.0439,1458,1066.86,50.4,5847,4.191,1.402,12.487
CONFIRMED,50.4467417,0.379,7.159,3.70E+02,2.67,0.2747,568,24.64,19.4,5739,4.191,1.384,15.084
CONFIRMED,11.76307164,0.048,2.9076,1.04E+03,2.35,0.0954,616,33.99,48.9,4959,4.603,0.756,15.208
CONFIRMED,56.2279271,0.7,3.57,8.63E+02,2.37,0.2707,366,4.22,20.9,4959,4.603,0.756,15.208
FALSE POSITIVE,2.384052875,1.178,3.0918,1.27E+03,17.06,0.0308,1010,244.87,50.5,4794,4.58,0.701,15.836
CONFIRMED,7.953547,0.3,2.6312,8.75E+02,2.25,0.0712,696,55.37,38.4,4768,4.536,0.779,15.66
CONFIRMED,4.14451656,0.004,2.3421,3.92E+02,1.48,0.0461,864,132.08,22.8,4768,4.536,0.779,15.66
FALSE POSITIVE,4.859386384,1.259,2.2757,6.04E+03,38.33,0.0571,1114,364.23,269.7,6072,4.47,0.988,15.311
CONFIRMED,10.52629458,0.644,2.5211,9.77E+03,8.24,0.088,713,61.16,482.3,5386,4.553,0.793,15.305
CONFIRMED,4.583520948,0.045,2.7055,3.81E+03,5.39,0.0535,1038,274.98,99.5,5815,4.54,0.877,15.287
CONFIRMED,3.76181843,0.926,3.5176,5.11E+02,2.66,0.047,1121,372.62,35.9,5653,4.472,0.949,15.257
CONFIRMED,8.20396958,0.823,2.9667,1.02E+03,3.01,0.0735,742,71.5,54.4,5015,4.499,0.826,15.376
CONFIRMED,14.49645186,0.97,4.016,6.48E+02,3.01,0.1074,613,33.48,25.7,5015,4.499,0.826,15.376
CONFIRMED,6.54626149,0.644,2.75,6.56E+02,2.19,0.0668,810,101.78,24.8,5251,4.581,0.817,15.855
CONFIRMED,12.71809866,0.427,3.0957,1.15E+03,2.31,0.0934,562,23.6,52.7,4702,4.592,0.686,15.389
CONFIRMED,36.06588163,0.26,4.3246,1.56E+03,2.64,0.1871,397,5.88,51.7,4702,4.592,0.686,15.389
CONFIRMED,4.190425659,0.458,2.8589,2.88E+03,6.21,0.0535,1234,547.9,240.6,6073,4.392,1.135,15.27
CONFIRMED,3.709870784,0.023,3.0694,2.02E+03,4.35,0.0471,1151,415.1,116.1,5727,4.463,0.978,15.581
CONFIRMED,16.3297527,0.791,6.271,1.19E+03,3.75,0.1255,727,66.08,74.6,5878,4.444,0.987,15.447
CONFIRMED,27.80756622,0.782,4.21587,2.54E+04,13.84,0.1711,554,22.24,748.1,5862,4.584,0.785,15.482
CONFIRMED,80.8723469,0.527,11.195,3.60E+03,7.59,0.3577,452,9.88,160.9,5510,4.222,1.238,15.201
FALSE POSITIVE,3.166465862,1.266,2.9381,4.36E+03,26.82,0.0371,954,196.31,122.1,4968,4.575,0.704,15.999
CONFIRMED,24.99324319,0.686,5.9409,2.70E+02,2.29,0.1651,712,60.88,62,5718,4.181,1.317,12.377
CONFIRMED,10.35533116,0.029,3.1775,7.51E+02,2.47,0.0895,777,86.22,49.2,5501,4.462,0.918,15.018
CONFIRMED,16.08518937,0.867,3.984,1.44E+03,3.68,0.1173,613,33.43,62.6,5239,4.523,0.826,15.219
CANDIDATE,235.9986399,0.778,8.2284,2.07E+04,10.59,0.6534,188,0.29,271.8,4245,4.627,0.657,15.172
CONFIRMED,7.49018305,0.02,2.7297,1.12E+03,2.56,0.0703,753,76.06,53,5103,4.562,0.787,15.599
CONFIRMED,36.2761238,0.035,4.7865,1.57E+03,3.03,0.2012,445,9.29,45.5,5103,4.562,0.787,15.599
CONFIRMED,17.46087931,0.594,2.2641,8.12E+02,2.32,0.1236,568,24.6,22.6,5103,4.562,0.787,15.599
CONFIRMED,56.0560754,0.018,4.685,1.63E+03,1.94,0.228,233,0.69,27.4,3593,4.757,0.491,15.849
CONFIRMED,41.40831669,0.377,5.0264,2.28E+04,11.38,0.2162,453,9.93,907.8,5522,4.586,0.747,15.196
CANDIDATE,39.74893077,0.881,7.3051,1.52E+04,14.21,0.2311,552,21.87,561.1,6122,4.487,0.964,15.344
CONFIRMED,5.715425977,0.348,2.5242,9.08E+02,2.47,0.0611,850,123.03,59.4,5237,4.572,0.826,15.086
CONFIRMED,49.18394185,0.035,11.3364,1.65E+03,8.2,0.2829,669,47.4,355.7,5626,3.907,2.057,12.654
CONFIRMED,20.0261412,0.957,1.611,4.21E+02,2.28,0.1409,559,23.14,10.7,5237,4.572,0.826,15.086
CANDIDATE,13.61014819,1.081,2.594,5.73E+03,19.02,0.1061,733,68.29,184.1,5697,4.46,0.903,15.06
FALSE POSITIVE,10.44331991,0.23,2.743,1.16E+03,2.66,0.0857,667,46.94,51.7,4947,4.516,0.802,15.546
CONFIRMED,2.237489571,0.128,1.8119,3.16E+02,1.41,0.0325,1160,427.17,30.7,5265,4.58,0.81,15.001
FALSE POSITIVE,5.851520671,0.211,3.11058,3.30E+04,14.62,0.0591,901,155.89,1630.4,5532,4.53,0.806,15.33
CONFIRMED,3.167893418,0.026,2.1814,7.81E+02,2.62,0.0426,1221,526.23,64.8,5895,4.503,0.94,15.533
CONFIRMED,4.311780262,0.196,2.7251,1.15E+03,3.11,0.0511,1038,274.84,86.1,5527,4.484,0.927,15.604
CONFIRMED,20.0504494,0.383,4.556,8.41E+02,2.69,0.1423,622,35.44,37.8,5527,4.484,0.927,15.604
CONFIRMED,9.76734503,0.9,1.6585,5.69E+02,2.67,0.0881,791,92.46,21.1,5527,4.484,0.927,15.604
CANDIDATE,119.0207044,0.076,8.1405,7.43E+03,8.98,0.4582,366,4.25,223.5,5453,4.342,1.062,15.085
CONFIRMED,190.3200468,0.812,15.284,1.14E+03,7.78,0.6972,426,7.8,139.3,5626,3.907,2.057,12.654
FALSE POSITIVE,2.861159894,0.965,1.8832,1.01E+03,4.37,0.0406,1355,797.1,58.3,6126,4.458,1.021,15.618
CONFIRMED,26.44439337,0.03,3.9783,1.84E+03,3.91,0.1687,562,23.54,88,5427,4.463,0.929,15.158
CONFIRMED,51.53997972,0.183,6.3994,3.64E+03,5.51,0.2632,450,9.67,155.5,5427,4.463,0.929,15.158
CONFIRMED,5.902245782,0.209,2.9003,7.02E+02,2.43,0.0621,926,173.74,59.3,5427,4.463,0.929,15.158
CONFIRMED,2.382951591,0.479,1.8876,3.92E+02,1.86,0.0339,1253,583.01,41.4,5427,4.463,0.929,15.158
CONFIRMED,21.02250608,0.036,4.1072,1.77E+03,3.07,0.1378,521,17.48,62.4,5067,4.585,0.75,15.859
CONFIRMED,3.219814777,0.06,2.0642,4.88E+02,1.69,0.04,998,234.93,30.5,5103,4.562,0.787,15.599
CONFIRMED,5.912273234,0.17,2.3254,9.61E+02,1.73,0.0537,585,27.72,62.8,4072,4.696,0.57,15.036
CONFIRMED,8.98581901,0.008,2.8606,8.81E+02,1.65,0.0709,509,15.9,51.8,4072,4.696,0.57,15.036
CANDIDATE,12.94066866,0.897,2.4845,4.25E+04,22.94,0.1039,723,64.64,307.5,5875,4.572,0.809,15.215
